Temperature,RH,Ws,Rain,FFMC,DMC,ISI,Classes
29,88,13,0.0,71.0,2.6,1.2,0
25,86,21,4.6,40.9,1.3,0.1,0
22,76,26,8.3,47.4,1.1,0.4,0
24,82,15,0.4,44.9,0.9,0.2,0
30,65,14,0.0,78.1,3.2,1.9,0
31,52,14,0.0,87.7,6.4,6.2,1
32,49,11,0.0,89.4,9.8,6.8,1
29,57,14,0.0,89.3,12.5,7.8,1
28,84,18,0.0,83.8,13.5,4.5,1
31,55,11,0.0,87.8,16.5,5.4,1
31,50,19,0.6,77.8,10.6,2.4,0
32,54,11,0.5,73.7,7.9,1.2,0
29,65,19,0.6,68.3,5.5,1.5,0
26,81,21,5.8,48.6,3.0,0.4,0
31,54,11,0.0,82.0,6.0,2.5,0
31,66,11,0.0,85.7,8.3,4.0,1
32,47,14,0.7,77.5,7.1,1.8,0
26,80,16,1.8,47.4,2.9,0.3,0
25,78,14,1.4,45.0,1.9,0.2,0
32,71,12,0.7,57.1,2.5,0.6,0
30,73,13,4.0,55.7,2.7,0.6,0
29,80,14,2.0,48.7,2.2,0.3,0
30,64,14,0.0,79.4,5.2,2.2,0
32,60,14,0.2,77.1,6.0,1.8,0
35,54,11,0.1,83.7,8.4,3.1,1
35,44,17,0.2,85.6,9.9,5.4,1
28,51,17,1.3,71.4,7.7,1.5,0
27,59,18,0.1,78.1,8.5,2.4,0
30,41,15,0.0,89.4,13.3,8.4,1
31,42,21,0.0,90.6,18.2,13.4,1
27,58,17,0.0,88.9,21.3,8.7,1
30,52,15,2.0,72.3,11.4,1.4,0
27,79,16,0.7,53.4,6.4,0.5,0
28,90,15,0.0,66.8,7.2,1.2,0
29,87,15,0.4,47.4,4.2,0.2,0
31,69,17,4.7,62.2,3.9,1.1,0
33,62,10,8.7,65.5,4.6,0.9,0
32,67,14,4.5,64.6,4.4,1.0,0
31,72,14,0.2,60.2,3.8,0.8,0
32,55,14,0.0,86.2,8.3,5.0,1
33,46,14,1.1,78.3,8.1,1.9,0
33,59,16,0.8,74.2,7.0,1.6,0
35,68,16,0.0,85.3,10.0,4.9,1
34,70,16,0.0,86.0,12.8,5.4,1
36,62,16,0.0,87.8,16.5,7.0,1
36,55,15,0.0,89.1,20.9,8.0,1
37,37,13,0.0,92.5,27.2,11.7,1
37,36,13,0.6,86.2,17.9,4.8,1
34,42,15,1.7,79.7,12.0,2.2,0
28,58,18,2.2,63.7,3.2,1.2,0
33,48,16,0.0,87.6,7.9,6.8,1
34,56,17,0.1,84.7,9.7,4.7,1
34,58,18,0.0,88.0,13.6,8.0,1
34,45,18,0.0,90.5,18.7,11.3,1
35,42,15,0.3,84.7,15.5,4.3,1
38,43,13,0.5,85.0,13.0,4.1,1
35,47,18,6.0,80.8,9.8,3.1,1
36,43,15,1.9,82.3,9.4,3.2,1
34,51,16,3.8,77.5,8.0,2.0,0
34,56,15,2.9,74.8,7.1,1.6,0
36,44,13,0.0,90.1,12.6,8.3,1
39,45,13,0.6,85.2,11.3,4.2,1
34,45,17,0.0,90.5,18.0,10.9,1
31,83,17,0.0,84.5,19.4,4.7,1
32,81,17,0.0,84.6,21.1,4.7,1
33,68,15,0.0,86.1,23.9,5.2,1
34,58,16,0.0,88.1,27.8,7.3,1
36,50,16,0.0,89.9,32.7,9.5,1
36,29,18,0.0,93.9,39.6,18.5,1
32,48,18,0.0,91.5,44.2,13.2,1
31,71,17,0.0,87.3,46.6,6.9,1
33,63,17,1.1,72.8,20.9,1.6,0
39,64,9,1.2,73.8,11.7,1.1,0
35,58,10,0.2,78.3,10.8,1.6,0
29,87,18,0.0,80.0,11.8,2.8,0
33,57,16,0.0,87.5,15.7,6.7,1
34,59,16,0.0,88.1,19.5,7.4,1
36,56,16,0.0,88.9,23.8,8.2,1
37,55,15,0.0,89.3,28.3,8.3,1
38,52,14,0.0,78.3,4.4,2.0,0
40,34,14,0.0,93.3,10.8,13.8,1
39,33,17,0.0,93.7,17.1,17.2,1
38,35,15,0.0,93.8,23.0,15.7,1
34,42,17,0.1,88.3,23.6,19.0,1
30,54,14,3.1,70.5,11.0,1.3,0
34,63,13,2.9,69.7,7.2,1.2,0
37,56,11,0.0,87.4,11.2,5.2,1
39,43,12,0.0,91.7,16.5,9.6,1
39,39,15,0.2,89.3,15.8,8.2,1
40,31,15,0.0,94.2,22.5,16.6,1
39,21,17,0.4,93.0,18.4,15.5,1
35,34,16,0.2,88.3,16.9,7.5,1
37,40,13,0.0,91.9,22.3,10.8,1
35,46,13,0.3,83.9,16.9,3.5,1
40,41,10,0.1,92.0,22.6,9.5,1
42,24,9,0.0,96.0,30.3,15.7,1
37,37,14,0.0,94.3,35.9,16.0,1
35,66,15,0.1,82.7,32.7,3.3,1
36,81,15,0.0,83.7,34.4,3.8,1
36,71,15,0.0,86.0,36.9,5.1,1
37,53,14,0.0,89.5,41.1,8.0,1
36,43,16,0.0,91.2,46.1,11.5,1
35,38,15,0.0,92.1,51.3,12.2,1
34,40,18,0.0,92.1,56.3,14.3,1
33,37,16,0.0,92.2,61.3,13.1,1
36,54,14,0.0,91.0,65.9,10.0,1
35,56,14,0.4,79.2,37.0,2.1,0
35,53,17,0.5,80.2,20.7,2.7,1
34,49,15,0.0,89.2,24.8,8.1,1
30,59,19,0.0,89.1,27.8,9.8,1
29,86,16,0.0,37.9,0.9,0.1,0
28,67,19,0.0,75.4,2.9,2.0,0
28,75,16,0.0,82.2,4.4,3.3,1
30,66,15,0.2,73.5,4.1,1.5,0
30,58,12,4.1,66.1,4.0,1.0,0
34,71,14,6.5,64.5,3.3,1.0,0
31,62,15,0.0,83.3,5.8,3.8,1
30,88,14,0.0,82.5,6.6,3.0,1
30,80,15,0.0,83.1,7.9,3.5,1
29,74,15,1.1,59.5,4.7,0.8,0
30,73,14,0.0,79.2,6.5,2.1,0
31,72,14,0.0,84.2,8.3,3.8,1
29,49,19,0.0,88.6,11.5,9.1,1
28,81,15,0.0,84.6,12.6,4.3,1
32,51,13,0.0,88.7,16.0,6.9,1
33,26,13,0.0,93.9,21.2,14.2,1
34,44,12,0.0,92.5,25.2,11.2,1
36,33,13,0.1,90.6,25.8,9.0,1
29,41,8,0.1,83.9,24.9,2.7,1
34,58,13,0.2,79.5,18.7,2.1,0
35,34,17,0.0,92.2,23.6,13.8,1
33,64,13,0.0,88.9,26.1,7.1,1
35,56,14,0.0,89.0,29.4,7.5,1
26,49,6,2.0,61.3,11.9,0.6,0
28,70,15,0.0,79.9,13.8,2.4,0
30,65,14,0.0,85.4,16.0,4.5,1
28,87,15,4.4,41.1,6.5,0.1,0
27,87,29,0.5,45.9,3.5,0.4,0
24,54,18,0.1,79.7,4.3,1.7,0
24,64,15,0.2,67.3,3.8,1.2,0
